Tarih,KDV,"Kurþunsuz Benzin 95 
(Ultra Force 95)","Motorin 
(Ultra Force)","Motorin 
(Eco Force)",Gazyaðý
01.01.2022,(KDV'li),12.91 TL/LT,12.76 TL/LT,12.73 TL/LT,11.53 TL/LT
05.01.2022,(KDV'li),12.93 TL/LT,12.78 TL/LT,12.75 TL/LT,11.53 TL/LT
07.01.2022,(KDV'li),12.93 TL/LT,12.78 TL/LT,12.75 TL/LT,12.23 TL/LT
08.01.2022,(KDV'li),13.56 TL/LT,13.72 TL/LT,13.69 TL/LT,12.6 TL/LT
12.01.2022,(KDV'li),13.58 TL/LT,13.76 TL/LT,13.73 TL/LT,12.6 TL/LT
14.01.2022,(KDV'li),13.58 TL/LT,13.76 TL/LT,13.73 TL/LT,13.26 TL/LT
19.01.2022,(KDV'li),13.58 TL/LT,14.28 TL/LT,14.25 TL/LT,13.26 TL/LT
20.01.2022,(KDV'li),14.04 TL/LT,14.28 TL/LT,14.25 TL/LT,13.26 TL/LT
21.01.2022,(KDV'li),14.04 TL/LT,14.28 TL/LT,14.25 TL/LT,13.26 TL/LT
25.01.2022,(KDV'li),14.06 TL/LT,14.3 TL/LT,14.27 TL/LT,13.26 TL/LT
02.02.2022,(KDV'li),14.45 TL/LT,14.62 TL/LT,14.59 TL/LT,13.26 TL/LT
03.02.2022,(KDV'li),14.48 TL/LT,14.65 TL/LT,14.62 TL/LT,13.26 TL/LT
04.02.2022,(KDV'li),14.46 TL/LT,14.63 TL/LT,14.6 TL/LT,13.26 TL/LT
05.02.2022,(KDV'li),14.46 TL/LT,14.63 TL/LT,14.6 TL/LT,13.83 TL/LT
08.02.2022,(KDV'li),14.46 TL/LT,15.43 TL/LT,15.4 TL/LT,14.43 TL/LT
09.02.2022,(KDV'li),15.17 TL/LT,15.43 TL/LT,15.4 TL/LT,14.43 TL/LT
10.02.2022,(KDV'li),15.19 TL/LT,15.43 TL/LT,15.4 TL/LT,14.43 TL/LT
11.02.2022,(KDV'li),15.19 TL/LT,15.45 TL/LT,15.42 TL/LT,14.43 TL/LT
19.02.2022,(KDV'li),15.14 TL/LT,15.49 TL/LT,15.46 TL/LT,14.43 TL/LT
26.02.2022,(KDV'li),16.77 TL/LT,17.01 TL/LT,16.98 TL/LT,14.43 TL/LT
01.03.2022,(KDV'li),16.55 TL/LT,16.07 TL/LT,16.04 TL/LT,14.43 TL/LT
02.03.2022,(KDV'li),16.55 TL/LT,16.08 TL/LT,16.05 TL/LT,15.28 TL/LT
03.03.2022,(KDV'li),17.43 TL/LT,17.6 TL/LT,17.57 TL/LT,16.53 TL/LT
04.03.2022,(KDV'li),17.98 TL/LT,18.94 TL/LT,18.91 TL/LT,17.83 TL/LT
05.03.2022,(KDV'li),18.68 TL/LT,19.79 TL/LT,19.76 TL/LT,18.73 TL/LT
08.03.2022,(KDV'li),19.26 TL/LT,21.23 TL/LT,21.2 TL/LT,19.93 TL/LT
09.03.2022,(KDV'li),20.35 TL/LT,22.84 TL/LT,22.81 TL/LT,21.58 TL/LT
10.03.2022,(KDV'li),20.35 TL/LT,22.84 TL/LT,22.81 TL/LT,23.62 TL/LT
11.03.2022,(KDV'li),20.35 TL/LT,22.84 TL/LT,22.81 TL/LT,21.59 TL/LT
12.03.2022,(KDV'li),20.39 TL/LT,22.9 TL/LT,22.87 TL/LT,19.3 TL/LT
15.03.2022,(KDV'li),20.39 TL/LT,20.53 TL/LT,20.5 TL/LT,19.3 TL/LT
16.03.2022,(KDV'li),18.71 TL/LT,19.7 TL/LT,19.66 TL/LT,19.3 TL/LT
17.03.2022,(KDV'li),18.1 TL/LT,18.71 TL/LT,18.67 TL/LT,17.87 TL/LT
18.03.2022,(KDV'li),18.1 TL/LT,18.71 TL/LT,18.67 TL/LT,17.87 TL/LT
19.03.2022,(KDV'li),18.1 TL/LT,20.67 TL/LT,20.63 TL/LT,20.02 TL/LT
23.03.2022,(KDV'li),19.78 TL/LT,22.27 TL/LT,22.23 TL/LT,21.67 TL/LT
25.03.2022,(KDV'li),19.8 TL/LT,23.66 TL/LT,23.61 TL/LT,22.86 TL/LT
30.03.2022,(KDV'li),19.8 TL/LT,22.12 TL/LT,22.07 TL/LT,21.41 TL/LT
31.03.2022,(KDV'li),19.8 TL/LT,21.24 TL/LT,21.19 TL/LT,20.6 TL/LT
01.04.2022,(KDV'li),19.8 TL/LT,21.24 TL/LT,21.19 TL/LT,20.6 TL/LT
02.04.2022,(KDV'li),19 TL/LT,21.27 TL/LT,21.22 TL/LT,20.6 TL/LT
08.04.2022,(KDV'li),19 TL/LT,21.27 TL/LT,21.22 TL/LT,20.6 TL/LT
09.04.2022,(KDV'li),19 TL/LT,21.27 TL/LT,21.22 TL/LT,20.6 TL/LT
12.04.2022,(KDV'li),19 TL/LT,20.23 TL/LT,20.18 TL/LT,20.6 TL/LT
14.04.2022,(KDV'li),19 TL/LT,20.26 TL/LT,20.21 TL/LT,20.6 TL/LT
15.04.2022,(KDV'li),19 TL/LT,20.26 TL/LT,20.21 TL/LT,20.6 TL/LT
16.04.2022,(KDV'li),19 TL/LT,22.05 TL/LT,22 TL/LT,20.6 TL/LT
20.04.2022,(KDV'li),19 TL/LT,22.05 TL/LT,22 TL/LT,21.77 TL/LT
22.04.2022,(KDV'li),19 TL/LT,22.06 TL/LT,22.01 TL/LT,21.77 TL/LT
30.04.2022,(KDV'li),20.33 TL/LT,22.07 TL/LT,22.02 TL/LT,21.77 TL/LT
06.05.2022,(KDV'li),20.33 TL/LT,22.08 TL/LT,22.03 TL/LT,23.77 TL/LT
11.05.2022,(KDV'li),21.12 TL/LT,22.08 TL/LT,22.03 TL/LT,23.77 TL/LT
14.05.2022,(KDV'li),21.12 TL/LT,22.08 TL/LT,22.03 TL/LT,22.66 TL/LT
17.05.2022,(KDV'li),22.82 TL/LT,22.08 TL/LT,22.03 TL/LT,22.66 TL/LT
18.05.2022,(KDV'li),22.82 TL/LT,22.08 TL/LT,22.03 TL/LT,22.66 TL/LT
19.05.2022,(KDV'li),23.86 TL/LT,22.08 TL/LT,22.03 TL/LT,22.66 TL/LT
21.05.2022,(KDV'li),22.86 TL/LT,22.08 TL/LT,22.03 TL/LT,22.66 TL/LT
24.05.2022,(KDV'li),22.86 TL/LT,22.08 TL/LT,22.03 TL/LT,22.66 TL/LT
27.05.2022,(KDV'li),24.31 TL/LT,23.48 TL/LT,23.43 TL/LT,22.66 TL/LT
28.05.2022,(KDV'li),25.01 TL/LT,24.45 TL/LT,24.4 TL/LT,24.34 TL/LT
01.06.2022,(KDV'li),25.01 TL/LT,24.45 TL/LT,24.4 TL/LT,25.1 TL/LT
02.06.2022,(KDV'li),26.23 TL/LT,25.94 TL/LT,25.89 TL/LT,25.85 TL/LT
04.06.2022,(KDV'li),26.23 TL/LT,25.94 TL/LT,25.89 TL/LT,25.85 TL/LT
08.06.2022,(KDV'li),26.23 TL/LT,27.89 TL/LT,27.84 TL/LT,25.85 TL/LT
09.06.2022,(KDV'li),26.23 TL/LT,27.89 TL/LT,27.84 TL/LT,27.21 TL/LT
10.06.2022,(KDV'li),26.23 TL/LT,27.89 TL/LT,27.84 TL/LT,27.21 TL/LT
11.06.2022,(KDV'li),28.44 TL/LT,27.89 TL/LT,27.84 TL/LT,28.61 TL/LT
14.06.2022,(KDV'li),28.46 TL/LT,27.9 TL/LT,27.85 TL/LT,28.61 TL/LT
15.06.2022,(KDV'li),27.51 TL/LT,27.9 TL/LT,27.85 TL/LT,28.61 TL/LT
16.06.2022,(KDV'li),27.51 TL/LT,29.19 TL/LT,29.14 TL/LT,28.61 TL/LT
17.06.2022,(KDV'li),27.51 TL/LT,29.99 TL/LT,29.94 TL/LT,28.61 TL/LT
21.06.2022,(KDV'li),27.51 TL/LT,29.99 TL/LT,29.94 TL/LT,28.61 TL/LT
23.06.2022,(KDV'li),27.26 TL/LT,29.99 TL/LT,29.94 TL/LT,28.61 TL/LT
29.06.2022,(KDV'li),27.3 TL/LT,27.51 TL/LT,27.46 TL/LT,28.61 TL/LT
30.06.2022,(KDV'li),27.3 TL/LT,26.69 TL/LT,26.64 TL/LT,25.42 TL/LT
02.07.2022,(KDV'li),25.2 TL/LT,26.69 TL/LT,26.64 TL/LT,25.42 TL/LT
07.07.2022,(KDV'li),25.2 TL/LT,26.69 TL/LT,26.64 TL/LT,23.74 TL/LT
08.07.2022,(KDV'li),25.2 TL/LT,24.61 TL/LT,24.56 TL/LT,22.94 TL/LT
09.07.2022,(KDV'li),25.2 TL/LT,25.42 TL/LT,25.37 TL/LT,23.85 TL/LT
14.07.2022,(KDV'li),23.66 TL/LT,25.42 TL/LT,25.37 TL/LT,23.85 TL/LT
15.07.2022,(KDV'li),23.66 TL/LT,25.42 TL/LT,25.37 TL/LT,23.85 TL/LT
19.07.2022,(KDV'li),22.72 TL/LT,25.43 TL/LT,25.38 TL/LT,23.85 TL/LT
21.07.2022,(KDV'li),22.72 TL/LT,25.43 TL/LT,25.38 TL/LT,23.85 TL/LT
26.07.2022,(KDV'li),22.72 TL/LT,24.53 TL/LT,24.48 TL/LT,23.85 TL/LT
27.07.2022,(KDV'li),22.25 TL/LT,24.53 TL/LT,24.48 TL/LT,23.85 TL/LT
30.07.2022,(KDV'li),22.27 TL/LT,24.55 TL/LT,24.5 TL/LT,23.85 TL/LT
02.08.2022,(KDV'li),22.27 TL/LT,24.55 TL/LT,24.5 TL/LT,23.85 TL/LT
03.08.2022,(KDV'li),22.25 TL/LT,24.53 TL/LT,24.48 TL/LT,23.85 TL/LT
06.08.2022,(KDV'li),20.03 TL/LT,23.39 TL/LT,23.34 TL/LT,23.85 TL/LT
09.08.2022,(KDV'li),20.03 TL/LT,23.39 TL/LT,23.34 TL/LT,22.58 TL/LT
10.08.2022,(KDV'li),20.04 TL/LT,22.41 TL/LT,22.36 TL/LT,21.99 TL/LT
11.08.2022,(KDV'li),20.05 TL/LT,23.23 TL/LT,23.18 TL/LT,22.63 TL/LT
13.08.2022,(KDV'li),21.16 TL/LT,23.23 TL/LT,23.18 TL/LT,22.63 TL/LT
16.08.2022,(KDV'li),21.16 TL/LT,23.23 TL/LT,23.18 TL/LT,23.95 TL/LT
18.08.2022,(KDV'li),20.33 TL/LT,24 TL/LT,23.95 TL/LT,23.95 TL/LT
20.08.2022,(KDV'li),20.33 TL/LT,25.08 TL/LT,25.03 TL/LT,23.95 TL/LT
23.08.2022,(KDV'li),21.15 TL/LT,25.08 TL/LT,25.03 TL/LT,23.95 TL/LT
24.08.2022,(KDV'li),21.15 TL/LT,25.08 TL/LT,25.03 TL/LT,23.95 TL/LT
25.08.2022,(KDV'li),21.15 TL/LT,26.03 TL/LT,25.98 TL/LT,25.43 TL/LT
26.08.2022,(KDV'li),21.17 TL/LT,26.9 TL/LT,26.85 TL/LT,26.28 TL/LT
30.08.2022,(KDV'li),20.13 TL/LT,26.9 TL/LT,26.85 TL/LT,26.28 TL/LT
02.09.2022,(KDV'li),20.13 TL/LT,26.92 TL/LT,26.87 TL/LT,26.28 TL/LT
03.09.2022,(KDV'li),18.66 TL/LT,24.52 TL/LT,24.47 TL/LT,24 TL/LT
06.09.2022,(KDV'li),19.23 TL/LT,25.22 TL/LT,25.17 TL/LT,24.61 TL/LT
07.09.2022,(KDV'li),19.23 TL/LT,25.99 TL/LT,25.94 TL/LT,24.61 TL/LT
08.09.2022,(KDV'li),19.23 TL/LT,24.86 TL/LT,24.81 TL/LT,24.61 TL/LT
09.09.2022,(KDV'li),19.23 TL/LT,24.86 TL/LT,24.81 TL/LT,24.61 TL/LT
14.09.2022,(KDV'li),19.23 TL/LT,24.86 TL/LT,24.81 TL/LT,24.61 TL/LT
15.09.2022,(KDV'li),19.23 TL/LT,24.86 TL/LT,24.81 TL/LT,24.61 TL/LT
16.09.2022,(KDV'li),19.23 TL/LT,24.86 TL/LT,24.81 TL/LT,22.86 TL/LT
17.09.2022,(KDV'li),19.23 TL/LT,24.86 TL/LT,24.81 TL/LT,21.39 TL/LT
20.09.2022,(KDV'li),19.23 TL/LT,23.12 TL/LT,23.07 TL/LT,21.39 TL/LT
22.09.2022,(KDV'li),19.23 TL/LT,23.12 TL/LT,23.07 TL/LT,22.53 TL/LT
28.09.2022,(KDV'li),19.24 TL/LT,23.12 TL/LT,23.07 TL/LT,22.53 TL/LT
30.09.2022,(KDV'li),19.24 TL/LT,23.12 TL/LT,23.07 TL/LT,22.53 TL/LT
04.10.2022,(KDV'li),19.24 TL/LT,23.12 TL/LT,23.07 TL/LT,22.53 TL/LT
05.10.2022,(KDV'li),19.86 TL/LT,24.22 TL/LT,24.17 TL/LT,22.53 TL/LT
06.10.2022,(KDV'li),20.6 TL/LT,25.61 TL/LT,25.56 TL/LT,22.53 TL/LT
07.10.2022,(KDV'li),20.6 TL/LT,27.15 TL/LT,27.1 TL/LT,22.53 TL/LT
08.10.2022,(KDV'li),20.6 TL/LT,27.15 TL/LT,27.1 TL/LT,22.53 TL/LT
11.10.2022,(KDV'li),20.6 TL/LT,28.53 TL/LT,28.48 TL/LT,25.85 TL/LT
12.10.2022,(KDV'li),20.6 TL/LT,28.53 TL/LT,28.48 TL/LT,25.03 TL/LT
13.10.2022,(KDV'li),20.6 TL/LT,26.41 TL/LT,26.36 TL/LT,23.57 TL/LT
14.10.2022,(KDV'li),20.6 TL/LT,26.41 TL/LT,26.36 TL/LT,24.89 TL/LT
15.10.2022,(KDV'li),20.62 TL/LT,27.42 TL/LT,27.37 TL/LT,24.89 TL/LT
20.10.2022,(KDV'li),20.62 TL/LT,27.42 TL/LT,27.37 TL/LT,24.89 TL/LT
22.10.2022,(KDV'li),20.63 TL/LT,26.37 TL/LT,26.32 TL/LT,23.46 TL/LT
26.10.2022,(KDV'li),20.64 TL/LT,26.38 TL/LT,26.33 TL/LT,23.46 TL/LT
27.10.2022,(KDV'li),20.65 TL/LT,26.38 TL/LT,26.33 TL/LT,23.46 TL/LT
01.11.2022,(KDV'li),21.37 TL/LT,26.38 TL/LT,26.33 TL/LT,23.46 TL/LT
02.11.2022,(KDV'li),21.37 TL/LT,26.38 TL/LT,26.33 TL/LT,23.46 TL/LT
03.11.2022,(KDV'li),21.37 TL/LT,26.38 TL/LT,26.33 TL/LT,23.46 TL/LT
04.11.2022,(KDV'li),22.68 TL/LT,26.38 TL/LT,26.33 TL/LT,23.46 TL/LT
08.11.2022,(KDV'li),22.68 TL/LT,26.38 TL/LT,26.33 TL/LT,23.46 TL/LT
10.11.2022,(KDV'li),22.68 TL/LT,26.38 TL/LT,26.33 TL/LT,24.91 TL/LT
12.11.2022,(KDV'li),22.68 TL/LT,26.38 TL/LT,26.33 TL/LT,24.91 TL/LT
15.11.2022,(KDV'li),22.68 TL/LT,24.84 TL/LT,24.79 TL/LT,24.91 TL/LT
17.11.2022,(KDV'li),21.93 TL/LT,24.84 TL/LT,24.79 TL/LT,23.89 TL/LT
19.11.2022,(KDV'li),21.19 TL/LT,24.84 TL/LT,24.79 TL/LT,23.89 TL/LT
22.11.2022,(KDV'li),21.19 TL/LT,24.84 TL/LT,24.79 TL/LT,23.89 TL/LT
23.11.2022,(KDV'li),20.07 TL/LT,24.84 TL/LT,24.79 TL/LT,23.89 TL/LT
24.11.2022,(KDV'li),20.62 TL/LT,23.89 TL/LT,23.84 TL/LT,23.89 TL/LT
25.11.2022,(KDV'li),20.16 TL/LT,23.89 TL/LT,23.84 TL/LT,23.89 TL/LT
29.11.2022,(KDV'li),20.17 TL/LT,23.08 TL/LT,23.03 TL/LT,22.64 TL/LT
30.11.2022,(KDV'li),20.17 TL/LT,22.5 TL/LT,22.45 TL/LT,21.79 TL/LT
02.12.2022,(KDV'li),20.18 TL/LT,22.5 TL/LT,22.45 TL/LT,22.8 TL/LT
03.12.2022,(KDV'li),20.19 TL/LT,23.66 TL/LT,23.61 TL/LT,22.8 TL/LT
06.12.2022,(KDV'li),20.19 TL/LT,22.97 TL/LT,22.92 TL/LT,22.8 TL/LT
08.12.2022,(KDV'li),18.14 TL/LT,21.1 TL/LT,21.05 TL/LT,20.48 TL/LT
09.12.2022,(KDV'li),18.14 TL/LT,21.1 TL/LT,21.05 TL/LT,20.48 TL/LT
10.12.2022,(KDV'li),17.42 TL/LT,21.1 TL/LT,21.05 TL/LT,20.48 TL/LT
13.12.2022,(KDV'li),17.43 TL/LT,21.1 TL/LT,21.05 TL/LT,20.48 TL/LT
16.12.2022,(KDV'li),18.51 TL/LT,21.1 TL/LT,21.05 TL/LT,20.48 TL/LT
17.12.2022,(KDV'li),18.51 TL/LT,22.8 TL/LT,22.75 TL/LT,22.27 TL/LT
20.12.2022,(KDV'li),17.92 TL/LT,22.03 TL/LT,21.98 TL/LT,21.51 TL/LT
22.12.2022,(KDV'li),17.96 TL/LT,22.07 TL/LT,22.02 TL/LT,21.51 TL/LT
23.12.2022,(KDV'li),18.62 TL/LT,22.07 TL/LT,22.02 TL/LT,21.51 TL/LT
24.12.2022,(KDV'li),18.62 TL/LT,22.07 TL/LT,22.02 TL/LT,21.51 TL/LT
27.12.2022,(KDV'li),18.62 TL/LT,22.07 TL/LT,22.02 TL/LT,21.51 TL/LT
31.12.2022,(KDV'li),19.46 TL/LT,22.07 TL/LT,22.02 TL/LT,21.51 TL/LT
